Machine 10.6.9.203 CpuFree% 21.08 MemFree%  0.64 Memfree 25 MB, Memtotal 3967 MB, Swapfree 6827 MB, Swaptotal 7730 MB Netout 3522
Machine 10.6.9.209 CpuFree% 99.22 MemFree% 98.48 Memfree 3907 MB, Memtotal 3967 MB, Swapfree 7710 MB, Swaptotal 7730 MB Netout 312
Machine 10.6.9.219 CpuFree% 99.75 MemFree% 98.38 Memfree 3902 MB, Memtotal 3967 MB, Swapfree 7688 MB, Swaptotal 7730 MB Netout 312
Machine 10.6.9.207 CpuFree% 99.69 MemFree% 97.16 Memfree 3854 MB, Memtotal 3967 MB, Swapfree 7662 MB, Swaptotal 7730 MB Netout 312
Machine 10.6.9.215 CpuFree% 99.64 MemFree% 98.16 Memfree 3894 MB, Memtotal 3967 MB, Swapfree 7699 MB, Swaptotal 7730 MB Netout 234
Machine 10.6.9.212 CpuFree% 100.00 MemFree% 97.97 Memfree 3886 MB, Memtotal 3967 MB, Swapfree 7689 MB, Swaptotal 7730 MB Netout 156
Machine 10.6.9.210 CpuFree% 100.00 MemFree% 97.10 Memfree 3852 MB, Memtotal 3967 MB, Swapfree 7656 MB, Swaptotal 7730 MB Netout 156
Machine 10.6.9.205 CpuFree% 100.00 MemFree% 98.72 Memfree 3916 MB, Memtotal 3967 MB, Swapfree 7689 MB, Swaptotal 7730 MB Netout 156
Machine 10.6.9.213 CpuFree% 100.00 MemFree% 98.58 Memfree 3911 MB, Memtotal 3967 MB, Swapfree 7717 MB, Swaptotal 7730 MB Netout 156
Machine 10.6.9.218 CpuFree% 99.00 MemFree% 98.33 Memfree 3900 MB, Memtotal 3967 MB, Swapfree 7695 MB, Swaptotal 7730 MB Netout 312
Machine 10.6.9.211 CpuFree% 99.52 MemFree% 98.55 Memfree 3909 MB, Memtotal 3967 MB, Swapfree 7712 MB, Swaptotal 7730 MB Netout 312
Machine 10.6.9.223 CpuFree% 100.00 MemFree% 98.63 Memfree 3913 MB, Memtotal 3967 MB, Swapfree 7718 MB, Swaptotal 7730 MB Netout 78
Machine 10.6.9.220 CpuFree% 99.00 MemFree% 98.85 Memfree 3921 MB, Memtotal 3967 MB, Swapfree 7726 MB, Swaptotal 7730 MB Netout 312
Machine 10.6.9.222 CpuFree% 100.00 MemFree% 97.78 Memfree 3879 MB, Memtotal 3967 MB, Swapfree 7684 MB, Swaptotal 7730 MB Netout 312
Machine 10.6.9.221 CpuFree% 100.00 MemFree% 97.52 Memfree 3869 MB, Memtotal 3967 MB, Swapfree 7673 MB, Swaptotal 7730 MB Netout 78

