Machine 10.6.9.203 CpuFree% 67.53 MemFree% 97.09 Memfree 3852 MB, Memtotal 3967 MB, Swapfree 7710 MB, Swaptotal 7730 MB Netout 17674
Machine 10.6.9.207 CpuFree% 95.56 MemFree% 97.27 Memfree 3859 MB, Memtotal 3967 MB, Swapfree 7728 MB, Swaptotal 7730 MB Netout 78
Machine 10.6.9.209 CpuFree% 87.84 MemFree% 97.11 Memfree 3852 MB, Memtotal 3967 MB, Swapfree 7730 MB, Swaptotal 7730 MB Netout 2231
Machine 10.6.9.213 CpuFree% 87.01 MemFree% 97.08 Memfree 3851 MB, Memtotal 3967 MB, Swapfree 7730 MB, Swaptotal 7730 MB Netout 78
Machine 10.6.9.211 CpuFree% 90.86 MemFree% 96.87 Memfree 3843 MB, Memtotal 3967 MB, Swapfree 7730 MB, Swaptotal 7730 MB Netout 78
Machine 10.6.9.210 CpuFree% 91.76 MemFree% 97.00 Memfree 3848 MB, Memtotal 3967 MB, Swapfree 7730 MB, Swaptotal 7730 MB Netout 78
Machine 10.6.9.212 CpuFree% 90.68 MemFree% 97.02 Memfree 3849 MB, Memtotal 3967 MB, Swapfree 7730 MB, Swaptotal 7730 MB Netout 156
Machine 10.6.9.205 CpuFree% 87.92 MemFree% 96.05 Memfree 3810 MB, Memtotal 3967 MB, Swapfree 7730 MB, Swaptotal 7730 MB Netout 78
Machine 10.6.9.215 CpuFree% 89.07 MemFree% 97.00 Memfree 3848 MB, Memtotal 3967 MB, Swapfree 7730 MB, Swaptotal 7730 MB Netout 156

Machine 10.6.9.203 CpuFree% 82.06 MemFree% 96.98 Memfree 3847 MB, Memtotal 3967 MB, Swapfree 7710 MB, Swaptotal 7730 MB Netout 31918
Machine 10.6.9.210 CpuFree% 95.00 MemFree% 96.83 Memfree 3841 MB, Memtotal 3967 MB, Swapfree 7730 MB, Swaptotal 7730 MB Netout 5773
Machine 10.6.9.207 CpuFree% 93.33 MemFree% 97.11 Memfree 3852 MB, Memtotal 3967 MB, Swapfree 7728 MB, Swaptotal 7730 MB Netout 5526
Machine 10.6.9.211 CpuFree% 92.63 MemFree% 96.71 Memfree 3837 MB, Memtotal 3967 MB, Swapfree 7730 MB, Swaptotal 7730 MB Netout 5843
Machine 10.6.9.205 CpuFree% 73.40 MemFree% 96.00 Memfree 3808 MB, Memtotal 3967 MB, Swapfree 7730 MB, Swaptotal 7730 MB Netout 4967
