Machine 10.6.9.223 CpuFree% 100.00 MemFree% 98.77 Memfree 3918 MB, Memtotal 3967 MB, Swapfree 7723 MB, Swaptotal 7730 MB Netout 1540
Machine 10.6.9.219 CpuFree% 67.38 MemFree% 86.63 Memfree 3437 MB, Memtotal 3967 MB, Swapfree 7699 MB, Swaptotal 7730 MB Netout 1766467
Machine 10.6.9.215 CpuFree% 71.78 MemFree% 86.77 Memfree 3442 MB, Memtotal 3967 MB, Swapfree 7722 MB, Swaptotal 7730 MB Netout 2576268
Machine 10.6.9.222 CpuFree% 68.09 MemFree% 86.81 Memfree 3444 MB, Memtotal 3967 MB, Swapfree 7723 MB, Swaptotal 7730 MB Netout 9992114
Machine 10.6.9.220 CpuFree% 65.17 MemFree% 86.83 Memfree 3444 MB, Memtotal 3967 MB, Swapfree 7723 MB, Swaptotal 7730 MB Netout 7506957
Machine 10.6.9.218 CpuFree% 77.52 MemFree% 86.68 Memfree 3438 MB, Memtotal 3967 MB, Swapfree 7713 MB, Swaptotal 7730 MB Netout 2329
Machine 10.6.9.213 CpuFree% 68.23 MemFree% 86.80 Memfree 3443 MB, Memtotal 3967 MB, Swapfree 7722 MB, Swaptotal 7730 MB Netout 746490
Machine 10.6.9.203 CpuFree% 70.59 MemFree% 85.77 Memfree 3403 MB, Memtotal 3967 MB, Swapfree 7717 MB, Swaptotal 7730 MB Netout 3790545
Machine 10.6.9.212 CpuFree% 68.30 MemFree% 87.55 Memfree 3473 MB, Memtotal 3967 MB, Swapfree 7720 MB, Swaptotal 7730 MB Netout 2552865
Machine 10.6.9.207 CpuFree% 64.37 MemFree% 86.83 Memfree 3444 MB, Memtotal 3967 MB, Swapfree 7722 MB, Swaptotal 7730 MB Netout 1667337
Machine 10.6.9.211 CpuFree% 74.24 MemFree% 86.74 Memfree 3441 MB, Memtotal 3967 MB, Swapfree 7720 MB, Swaptotal 7730 MB Netout 5046575
Machine 10.6.9.209 CpuFree% 69.08 MemFree% 87.38 Memfree 3466 MB, Memtotal 3967 MB, Swapfree 7721 MB, Swaptotal 7730 MB Netout 6285174
Machine 10.6.9.210 CpuFree% 72.41 MemFree% 86.55 Memfree 3433 MB, Memtotal 3967 MB, Swapfree 7721 MB, Swaptotal 7730 MB Netout 3201943
Machine 10.6.9.205 CpuFree% 68.30 MemFree% 86.67 Memfree 3438 MB, Memtotal 3967 MB, Swapfree 7687 MB, Swaptotal 7730 MB Netout 696071
Machine 10.6.9.221 CpuFree% 78.18 MemFree% 86.86 Memfree 3446 MB, Memtotal 3967 MB, Swapfree 7723 MB, Swaptotal 7730 MB Netout 4292689

Machine 10.6.9.223 CpuFree% 100.00 MemFree% 98.77 Memfree 3918 MB, Memtotal 3967 MB, Swapfree 7723 MB, Swaptotal 7730 MB Netout 1462
Machine 10.6.9.219 CpuFree% 86.99 MemFree% 86.62 Memfree 3436 MB, Memtotal 3967 MB, Swapfree 7699 MB, Swaptotal 7730 MB Netout 15586795
Machine 10.6.9.222 CpuFree% 84.82 MemFree% 86.82 Memfree 3444 MB, Memtotal 3967 MB, Swapfree 7723 MB, Swaptotal 7730 MB Netout 14049857
Machine 10.6.9.220 CpuFree% 83.33 MemFree% 86.82 Memfree 3444 MB, Memtotal 3967 MB, Swapfree 7723 MB, Swaptotal 7730 MB Netout 11133702
Machine 10.6.9.215 CpuFree% 86.17 MemFree% 86.77 Memfree 3442 MB, Memtotal 3967 MB, Swapfree 7722 MB, Swaptotal 7730 MB Netout 16148191
Machine 10.6.9.218 CpuFree% 86.75 MemFree% 86.68 Memfree 3438 MB, Memtotal 3967 MB, Swapfree 7713 MB, Swaptotal 7730 MB Netout 16332767
