Machine 10.6.9.203 CpuFree% 83.39 MemFree% 98.14 Memfree 3893 MB, Memtotal 3967 MB, Swapfree 7721 MB, Swaptotal 7730 MB Netout 162029
Machine 10.6.9.210 CpuFree% 93.72 MemFree% 98.46 Memfree 3906 MB, Memtotal 3967 MB, Swapfree 7720 MB, Swaptotal 7730 MB Netout 22255
Machine 10.6.9.211 CpuFree% 94.56 MemFree% 98.45 Memfree 3906 MB, Memtotal 3967 MB, Swapfree 7720 MB, Swaptotal 7730 MB Netout 19144
Machine 10.6.9.209 CpuFree% 92.64 MemFree% 98.49 Memfree 3907 MB, Memtotal 3967 MB, Swapfree 7721 MB, Swaptotal 7730 MB Netout 24864
Machine 10.6.9.207 CpuFree% 93.69 MemFree% 98.53 Memfree 3909 MB, Memtotal 3967 MB, Swapfree 7722 MB, Swaptotal 7730 MB Netout 1192799
Machine 10.6.9.205 CpuFree% 93.55 MemFree% 98.38 Memfree 3903 MB, Memtotal 3967 MB, Swapfree 7686 MB, Swaptotal 7730 MB Netout 34229
Machine 10.6.9.219 CpuFree% 92.83 MemFree% 98.31 Memfree 3900 MB, Memtotal 3967 MB, Swapfree 7698 MB, Swaptotal 7730 MB Netout 19646
Machine 10.6.9.218 CpuFree% 92.77 MemFree% 98.40 Memfree 3904 MB, Memtotal 3967 MB, Swapfree 7713 MB, Swaptotal 7730 MB Netout 19638
Machine 10.6.9.213 CpuFree% 94.48 MemFree% 98.57 Memfree 3910 MB, Memtotal 3967 MB, Swapfree 7722 MB, Swaptotal 7730 MB Netout 17577
Machine 10.6.9.212 CpuFree% 94.40 MemFree% 98.46 Memfree 3906 MB, Memtotal 3967 MB, Swapfree 7720 MB, Swaptotal 7730 MB Netout 12705
Machine 10.6.9.215 CpuFree% 94.08 MemFree% 98.54 Memfree 3909 MB, Memtotal 3967 MB, Swapfree 7722 MB, Swaptotal 7730 MB Netout 17208
Machine 10.6.9.223 CpuFree% 100.00 MemFree% 98.73 Memfree 3916 MB, Memtotal 3967 MB, Swapfree 7723 MB, Swaptotal 7730 MB Netout 5769
Machine 10.6.9.221 CpuFree% 93.64 MemFree% 98.56 Memfree 3910 MB, Memtotal 3967 MB, Swapfree 7723 MB, Swaptotal 7730 MB Netout 197552
Machine 10.6.9.220 CpuFree% 93.50 MemFree% 98.54 Memfree 3909 MB, Memtotal 3967 MB, Swapfree 7723 MB, Swaptotal 7730 MB Netout 18813
Machine 10.6.9.222 CpuFree% 93.41 MemFree% 98.56 Memfree 3910 MB, Memtotal 3967 MB, Swapfree 7723 MB, Swaptotal 7730 MB Netout 12333

Machine 10.6.9.219 CpuFree% 99.79 MemFree% 98.28 Memfree 3899 MB, Memtotal 3967 MB, Swapfree 7698 MB, Swaptotal 7730 MB Netout 14498
Machine 10.6.9.210 CpuFree% 99.77 MemFree% 98.44 Memfree 3905 MB, Memtotal 3967 MB, Swapfree 7720 MB, Swaptotal 7730 MB Netout 8428
Machine 10.6.9.218 CpuFree% 98.82 MemFree% 98.39 Memfree 3903 MB, Memtotal 3967 MB, Swapfree 7713 MB, Swaptotal 7730 MB Netout 6640
Machine 10.6.9.205 CpuFree% 93.55 MemFree% 98.33 Memfree 3901 MB, Memtotal 3967 MB, Swapfree 7686 MB, Swaptotal 7730 MB Netout 5477
Machine 10.6.9.222 CpuFree% 98.92 MemFree% 98.54 Memfree 3909 MB, Memtotal 3967 MB, Swapfree 7723 MB, Swaptotal 7730 MB Netout 10761
Machine 10.6.9.209 CpuFree% 99.58 MemFree% 98.47 Memfree 3906 MB, Memtotal 3967 MB, Swapfree 7721 MB, Swaptotal 7730 MB Netout 8651
Machine 10.6.9.221 CpuFree% 99.34 MemFree% 98.54 Memfree 3909 MB, Memtotal 3967 MB, Swapfree 7723 MB, Swaptotal 7730 MB Netout 4058
